C00000059|12312016|37|64|4909
C00000638|12152016|250|1|250
C00000638|12162016|250|1|250
C00000638|12182016|250|1|250
C00000638|12202016|250|3|750
C00000638|12212016|375|2|750
C00000638|12272016|250|2|500
C00000638|12282016|250|2|500
C00000638|12302016|375|2|750
C00000729|12192016|250|11|3225
C00000729|12202016|250|2|500
C00000729|12212016|375|2|750
C00000729|12222016|83|4|582
C00000729|12272016|71|3|195
C00000729|12312016|20|3|420
C00000885|12152016|8|69|1164
C00000885|12222016|0|427|1599
C00000901|12142016|525|8|11450
C00000901|12152016|437|2|875
C00000901|12172016|250|1|250
C00000901|12192016|625|1|625
C00000901|12202016|250|1|250
C00000901|12212016|2500|1|2500
C00000901|12222016|250|17|14365
C00000901|12232016|23|42|5477
C00000901|12242016|250|4|1000
C00000901|12252016|250|2|500
C00000901|12262016|250|1|250
C00000901|12272016|1000|1|1000
C00000901|12292016|435|13|7070
C00000901|12302016|35|46|16520
C00000901|12312016|1000|1|1000
C00000935|12142016|13|208|37895
C00000935|12152016|35|193|29615
C00000935|12162016|-75|32|5401
C00000935|12182016|8|76|7255
C00000935|12192016|8|212|22339
C00000935|12202016|13|262|23902
C00000935|12212016|5|161|16532
C00000935|12222016|18|485|21402
C00000935|12232016|50|17|2544
C00000935|12252016|35|21|1664
C00000935|12262016|10|53|5539
C00000935|12272016|15|101|5777
C00000935|12282016|5|212|21133
C00000935|12292016|25|123|9744
C00000935|12302016|60|84|18912
C00000935|12312016|10|107|27812
C00000984|12152016|14|10|439
C00000984|12292016|15|10|439
C00001016|12152016|15|207|17905
C00001016|12202016|86|215|22775
C00001016|12212016|55|9|573
C00001016|12282016|76|180|27445
C00001198|12142016|509|6|4057
C00001198|12152016|5000|1|5000
C00001198|12192016|5000|3|10500
C00001198|12212016|2750|2|5500
C00001198|12242016|38|9|471
C00001214|12142016|2500|1|2500
C00001214|12172016|208|8|1775
C00001214|12202016|1355|4|7710
C00001214|12222016|1400|4|7800
C00001214|12302016|99|3|5099
C00001214|12312016|1000|1|1000
C00001305|12142016|137|2|275
C00001305|12212016|5000|1|5000
C00001313|12142016|550|2|1100
C00001313|12152016|10|1|10
C00001313|12162016|95|17|33746
C00001313|12192016|40|5|230
C00001313|12222016|55|4|410
C00001313|12292016|110|6|2610
C00001313|12312016|250|3|530
C00001388|12302016|15|140|9051
C00001636|12202016|25|365|12810
C00001917|12142016|25|1|25
